4,9,13,15,27,28,30,33,38,42,44,57,58,64,66,75,88,90,96,99
1,6,10,19,28,43,46,47,48,50,54,60,63,70,76,78,80,93,95,97
0,1,2,3,4,13,16,19,20,30,39,40,42,53,65,67,77,81,82,91
4,11,13,16,20,21,30,39,41,43,48,55,59,65,69,73,74,85,91,92
1,3,5,8,12,19,20,27,32,39,40,49,50,51,58,67,71,80,88,99
9,10,11,17,18,22,31,33,36,41,43,44,47,62,65,67,76,77,83,93
7,10,15,22,23,25,27,37,39,44,53,56,62,63,75,81,82,86,89,96
8,14,22,32,36,40,51,58,59,63,66,68,71,72,76,77,78,83,93,97
2,6,10,13,22,26,27,36,38,42,47,49,54,57,58,69,75,82,92,97
8,19,22,28,33,34,42,44,45,49,51,53,55,64,69,78,81,89,91,98
3,5,14,20,22,25,27,36,40,44,52,58,62,63,67,68,81,82,93,97
10,11,29,30,32,33,35,49,58,61,73,76,77,82,83,84,85,92,93,96
6,10,20,24,30,31,32,42,43,45,49,61,73,78,79,80,82,90,96,97
2,6,7,15,17,22,28,33,36,39,42,48,49,57,58,84,85,90,98,99
2,4,19,20,29,31,43,47,52,53,64,66,70,75,77,79,88,89,97,98
2,17,22,25,31,49,52,53,59,63,68,70,72,73,74,84,92,94,95,98
1,12,13,17,18,23,25,30,34,35,46,50,59,61,65,67,74,78,89,91
0,13,19,22,23,38,45,67,71,72,77,78,86,89,91,92,93,95,96,98
2,3,4,20,22,24,26,39,44,49,51,56,58,60,78,94,96,97,98,99
0,7,21,30,39,43,48,50,51,62,63,69,71,73,74,78,79,95,96,99
3,4,10,16,30,35,39,46,52,53,57,64,67,76,78,80,82,84,88,89
5,16,30,33,36,39,41,49,51,52,54,56,62,65,72,73,76,83,90,99
2,3,10,12,14,34,41,44,45,49,51,54,55,70,73,74,82,87,91,95
1,11,13,15,21,37,42,51,56,65,66,71,74,75,76,80,84,87,92,99
5,18,20,22,24,30,40,41,50,54,57,61,69,71,72,73,75,82,89,98
4,6,14,21,25,26,38,41,46,47,53,64,65,72,82,84,86,87,89,90
2,13,14,16,22,25,32,37,41,43,44,52,61,65,69,70,73,77,85,92
3,4,14,18,23,25,30,33,37,42,43,54,59,61,68,79,82,84,95,99
4,16,18,24,29,30,34,36,50,52,61,67,74,76,80,83,87,93,96,98
3,9,12,24,25,26,32,35,39,44,48,53,64,66,67,76,86,88,90,97
8,15,19,24,25,26,28,30,36,39,51,62,66,67,79,80,82,85,91,93
3,4,6,10,12,13,14,22,25,31,50,51,53,57,59,61,86,89,94,98
1,4,20,24,26,29,30,38,39,42,47,48,60,61,67,73,81,84,91,95
3,6,20,26,28,33,47,64,69,70,73,78,80,85,87,88,91,92,93,97
2,10,12,36,37,38,43,56,65,69,70,75,76,77,80,82,87,89,97,99
4,6,12,16,19,20,21,26,32,45,53,54,58,60,61,62,80,88,95,97
2,3,4,9,11,12,28,31,34,40,41,53,54,62,67,68,77,79,91,97
